word,pos,level,url,uk_audio,us_audio,definition
a,indefinite article,A1,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a__/a__gb/a__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/a__/a__us/a__us_2_rr.mp3,used before countable or singular nouns referring to people or things that have not already been mentioned
abandon,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3,"to leave somebody, especially somebody you are responsible for, with no intention of returning"
ability,noun,A2,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abi/abili/ability__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abi/abili/ability__us_4.mp3,the fact that somebody/something is able to do something
able,adjective,A2,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/able_/able__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abl/able_/able__us_2.mp3,"having the skill, intelligence, opportunity, etc. needed to do something"
abolish,verb,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/aboli/abolish__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/aboli/abolish__us_1.mp3,"to officially end a law, a system or an institution"
abortion,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/abort/abortion__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/abort/abortion__us_1.mp3,the deliberate ending of apregnancyat an early stage
about,adverb,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,a little more or less than; a little before or after
about,preposition,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,on the subject of somebody/something; in connection with somebody/something
above,adverb,A1,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3,at or to a higher place
above,preposition,A1,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3,at or to a higher place or position than something/somebody
abroad,adverb,A2,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abr/abroa/abroad__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abr/abroa/abroad__us_4.mp3,in or to a foreign country
absence,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absence,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absence__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absence__us_1.mp3,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away
absent,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absent__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absent__us_1.mp3,"not in a place because of illness, etc."
absolute,adjective,B2,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolute__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolute__us_1_rr.mp3,total and complete
absolutely,adverb,B1,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolutely__us_1_rr.mp3,used to emphasize that something is completely true
absorb,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absor/absorb__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absor/absorb__us_2_rr.mp3,"to take in a liquid, gas or other substance from the surface or space around"
abstract,adjective,B2,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3,"based on general ideas and not on any particular real person, thing or situation"
absurd,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absur/absurd__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absur/absurd__us_1_rr.mp3,extremely silly; not logical and sensible
abundance,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abund/abundance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abund/abundance__us_1.mp3,a large quantity that is more than enough
abuse,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_3.mp3,the use of something in a way that is wrong or harmful
